sequence_id,class_label,length,base_nll,patched_nll,delta_nll,relative_nll_degradation_pct,mean_kl,top1_agreement,nmse,explained_variance,diagnostic,interpolation_alpha
117,1,252,2.4328771254595587,2.710885799632353,0.2780086741727943,11.427156401097724,0.2503202259540558,0.4453125,0.018718453124165535,0.9834650754928589,reconstruction,0.5
118,1,289,2.4818460124812716,2.7882261929446703,0.30638018046339877,12.344850523465373,0.4171779453754425,0.35836175084114075,0.019430307671427727,0.9826827049255371,reconstruction,0.5
119,1,267,2.1905546965422453,2.6349286114728008,0.44437391493055545,20.285908205441864,0.44627678394317627,0.40590405464172363,0.019697511568665504,0.9825267791748047,reconstruction,0.5
120,1,273,2.3921163807744565,2.6931079366932744,0.3009915559188179,12.582646828469557,0.3434082567691803,0.41877254843711853,0.019452320411801338,0.9825688600540161,reconstruction,0.5
121,1,291,2.524456413424745,2.8330937599649233,0.3086373465401784,12.225893261570429,0.3517540991306305,0.342372864484787,0.019184477627277374,0.982732355594635,reconstruction,0.5
122,1,260,2.073787790740851,2.609373607562975,0.5355858168221244,25.826452408169924,0.4748634696006775,0.39393940567970276,0.0191948339343071,0.9828129410743713,reconstruction,0.5
123,1,263,2.1462131586289943,2.589140698425752,0.4429275397967576,20.637630424356388,0.4823647439479828,0.37078651785850525,0.019493205472826958,0.9826460480690002,reconstruction,0.5
124,1,262,2.434543825545401,2.80771484375,0.37317101820459886,15.328170078063755,0.32112523913383484,0.4060150384902954,0.01901613548398018,0.9831461906433105,reconstruction,0.5
125,1,261,2.26588046911991,2.625558564157197,0.35967809503728665,15.873657059102907,0.36712005734443665,0.43396228551864624,0.019335340708494186,0.9826700091362,reconstruction,0.5
126,1,277,2.428755405970982,2.764852033342634,0.3360966273716519,13.838224571538742,0.34946444630622864,0.33451956510543823,0.01961023174226284,0.982588529586792,reconstruction,0.5
127,1,264,2.057448483584972,2.618960034088249,0.5615115505032771,27.291645695297273,0.5389861464500427,0.38059699535369873,0.01922682113945484,0.9827845692634583,reconstruction,0.5
128,1,263,2.190247270397674,2.6013814596305216,0.4111341892328477,18.77113122292351,0.5025763511657715,0.33707866072654724,0.019526956602931023,0.9824708700180054,reconstruction,0.5
129,1,249,2.233983357747396,2.7031622992621527,0.4691789415147567,21.001899583882594,0.4315720200538635,0.33596840500831604,0.018727032467722893,0.9833189249038696,reconstruction,0.5
130,1,311,2.571198287283539,2.8667870782742835,0.2955887909907444,11.496149186651522,0.2696812152862549,0.4000000059604645,0.019768819212913513,0.9822877645492554,reconstruction,0.5
131,1,267,2.162061451099537,2.6768749095775464,0.5148134584780095,23.81123155478288,0.484712153673172,0.3948339521884918,0.019680187106132507,0.9826031923294067,reconstruction,0.5
132,1,317,2.64512939453125,2.8897830963134767,0.24465370178222656,9.249214888619173,0.22267454862594604,0.41433021426200867,0.02012762613594532,0.9819536805152893,reconstruction,0.5
133,1,316,2.593821941124608,2.9092116400739614,0.3153896989493532,12.159265597568702,0.2922250032424927,0.4000000059604645,0.019998008385300636,0.9821697473526001,reconstruction,0.5
134,1,302,2.3140098696849387,2.6565945984887294,0.34258472880379065,14.804808453579971,0.2795574367046356,0.38235294818878174,0.0203457809984684,0.9819023609161377,reconstruction,0.5
