latent_id,annotation,rank,n_positive,n_negative,activation_prevalence,mean_activation_positive,mean_activation_negative,point_biserial_r,point_biserial_p,auroc,fisher_odds_ratio,fisher_p,q_value,activation_threshold,fire_count_positive,fire_count_negative,any_active_positive,any_active_negative
120,has_ps00135,725,10760,27558,0.1542095098909129,0.08756647258996964,0.2576087415218353,-0.09829544748987333,6.85194128440661e-83,0.4605030795475362,0.5038432509429351,1.0,1.0,0.0,0.10185873508453369,0.7070904970169067,0.09739776951672863,0.17639161042165613
121,has_ps00135,731,10760,27558,0.7885589018215982,1.2969954013824463,1.4540331363677979,-0.08602751253127448,7.403557218690964e-64,0.4609166311214927,0.6396835701209805,1.0,1.0,0.0,1.078345775604248,1.5040278434753418,0.7323420074349443,0.8105087451919588
123,has_ps00135,743,10760,27558,0.42653583172399395,0.18360625207424164,0.5788162350654602,-0.19626919075145982,0.0,0.39199946931797236,0.39166560575385917,1.0,1.0,0.0,0.3532527983188629,1.3348573446273804,0.2711895910780669,0.48719065244212206
124,has_ps00135,749,10760,27558,0.9113210501591941,0.6072139739990234,1.3819884061813354,-0.13110932125584351,1.6859924492330455e-146,0.4585311115373834,0.40172472647685376,1.0,1.0,0.0,2.0551114082336426,9.498729705810547,0.8516728624535316,0.9346106393787648
126,has_ps00135,761,10760,27558,0.1504514849418028,0.031011614948511124,0.23415113985538483,-0.17979167741872165,9.138998316668259e-276,0.4284837440520851,0.21214151743778842,1.0,1.0,0.0,0.04934944212436676,0.6882212162017822,0.04758364312267658,0.19061615501850643
127,has_ps00135,767,10760,27558,0.2346677801555405,0.2172091007232666,0.9458891153335571,-0.0598859411626681,8.653578065178895e-32,0.4717629408039981,0.7203019908240798,1.0,1.0,0.0,0.22908921539783478,0.5217359662055969,0.19405204460966544,0.2505261630016692
128,has_ps00135,773,10760,27558,0.34184978339161753,0.10973242670297623,0.624671995639801,-0.27024143157438035,0.0,0.35738179846979035,0.2169474064166578,1.0,1.0,0.0,0.15046468377113342,0.8414979577064514,0.1367100371747212,0.42194644023514044
129,has_ps00135,779,10760,27558,0.6175426692416097,0.3597773313522339,0.727652370929718,-0.14169075363788833,5.247549690924191e-171,0.42338578708346386,0.5291585635078119,1.0,1.0,0.0,0.7797397971153259,1.7648595571517944,0.5073420074349443,0.6605704332680166
130,has_ps00135,785,10760,27558,0.5944203768463907,0.5430506467819214,1.2072900533676147,-0.10951632483607748,1.4975515056321566e-102,0.4401717054480027,0.6124576930147149,1.0,1.0,0.0,0.7518587112426758,1.1907613277435303,0.508364312267658,0.6280209013716526
131,has_ps00135,791,10760,27558,0.35703846756093743,0.19913792610168457,0.517166793346405,-0.12796007558861647,1.385110252001494e-139,0.4317869698811645,0.5343561849070516,1.0,1.0,0.0,0.30910781025886536,0.7022280097007751,0.2589219330855019,0.39534799332317294
135,has_ps00135,815,10760,27558,0.6517302573203194,0.3303619623184204,0.8446419835090637,-0.29444648989138317,0.0,0.3439222305318341,0.26291102894338664,1.0,1.0,0.0,0.6329925656318665,2.7354307174682617,0.42723048327137547,0.7393860222077073
138,has_ps00135,833,10760,27558,0.6960697322407223,0.41143468022346497,0.8345857262611389,-0.12344311269992331,5.71528893036329e-130,0.43682822656426423,0.5625403551251009,1.0,1.0,0.0,0.9935873746871948,2.6974382400512695,0.6052044609665428,0.7315480078380143
141,has_ps00135,851,10760,27558,0.27566678845451226,0.11109987646341324,0.4612887501716614,-0.13764998524374988,2.0456558916527374e-161,0.4315646574133204,0.47038204934029276,1.0,1.0,0.0,0.19405204057693481,0.48693662881851196,0.17723048327137547,0.31410116844473474
142,has_ps00135,857,10760,27558,0.11232319014562346,0.02660846710205078,0.21545711159706116,-0.1562503876841808,5.807580127736968e-208,0.44510584435503514,0.20659676259558254,1.0,1.0,0.0,0.03401486948132515,1.1373103857040405,0.03336431226765799,0.14315262355758762
143,has_ps00135,863,10760,27558,0.3627016023800825,0.16949695348739624,0.4760870933532715,-0.1492540423851353,9.833144871166099e-190,0.4201609967055627,0.4790727193578813,1.0,1.0,0.0,0.2887546420097351,1.0209376811981201,0.24786245353159853,0.4075404601204732
144,has_ps00135,869,10760,27558,0.2827391826295736,0.09413398802280426,0.4259651303291321,-0.21887205793385,0.0,0.3903358371434792,0.27202926697077817,1.0,1.0,0.0,0.15576207637786865,0.942738950252533,0.125,0.34432832571304156
148,has_ps00135,893,10760,27558,0.5104389581919725,0.23590101301670074,0.7158938050270081,-0.2356306821431535,0.0,0.36894607682451963,0.3381429750985105,1.0,1.0,0.0,0.44767656922340393,1.5435082912445068,0.32193308550185873,0.5840409318528195
149,has_ps00135,899,10760,27558,0.1312438018685735,0.06123684346675873,0.22977645695209503,-0.07363959482482196,3.158868202892567e-47,0.4723342401062335,0.585091007669447,1.0,1.0,0.0,0.09851301461458206,0.6730895042419434,0.09144981412639405,0.146781333913927
150,has_ps00135,905,10760,27558,0.8916958087582859,0.5795136094093323,1.084675908088684,-0.08757593296340357,4.0569441534785517e-66,0.46971980825300935,0.5611384624137447,1.0,1.0,0.0,2.208828926086426,5.572900772094727,0.8481412639405205,0.9087016474345018
151,has_ps00135,911,10760,27558,0.506419959288063,0.28358539938926697,0.6135635375976562,-0.12487517136448266,5.58469050783631e-133,0.4305370612734048,0.5708329937942429,1.0,1.0,0.0,0.6508364081382751,2.344473361968994,0.40650557620817845,0.5454314536613688
152,has_ps00135,917,10760,27558,0.7770760478104285,0.5118882656097412,1.1510648727416992,-0.24310414573971692,0.0,0.38742412083362665,0.3037779335553492,1.0,1.0,0.0,1.083085536956787,2.972748279571533,0.6151486988847583,0.8403004572175049
153,has_ps00135,923,10760,27558,0.114776345320737,0.026487816125154495,0.2469911426305771,-0.1406471528954642,1.6770402109280739e-168,0.450119993627499,0.26993586540731385,1.0,1.0,0.0,0.04433085396885872,0.7161622643470764,0.043029739776951674,0.1427897525219537
